File,Mean_Intensity,Std_Intensity,Min_Intensity,Max_Intensity,Voxel_Count,Volume_mm3,Bounding_Box,Surface_Area,Compactness,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,entropy
UPENN-GBM-00294_11_segm.nii.gz,2.371807987604414,0.8900910588621714,1,4,100681,100681,"(118, 50, 50, 176, 162, 131)",99594,312.17796303275185,0.016066170773283747,0.006401846,0.9977289860621144,0.9774578277320424,0.9274402859410394,0.3365600298246614
UPENN-GBM-00307_11_segm.nii.gz,2.3552462801436636,0.7707823072732702,1,4,15592,15592,"(119, 123, 103, 147, 168, 138)",11922,83.48757567566375,0.004733654,0.001915111,0.9993087968966391,0.9955664060676653,0.8236365796760902,0.16900596346719932
UPENN-GBM-00312_11_segm.nii.gz,2.6173864894795127,1.197337870345839,1,4,43344,43344,"(45, 111, 38, 112, 171, 85)",43332,208.10576629650996,0.021752871005074333,0.007826642,0.9974159383329579,0.9831258486108504,0.8898270104361256,-1.28E-15
UPENN-GBM-00330_11_segm.nii.gz,2.4488858839437944,1.0258293762013206,1,4,170090,170090,"(47, 81, 29, 120, 196, 107)",170089,412.41605208531547,0.025356721381825983,0.009983281,0.9964989397754598,0.9610366112116995,0.9187284848079119,-1.28E-15
UPENN-GBM-00344_11_segm.nii.gz,2.050246015190841,0.38971238829970856,1,4,125602,125602,"(53, 102, 44, 107, 189, 114)",125594,354.36986543526194,0.013267583183901175,0.006303048,0.9975424328727308,0.9679767082845054,0.934613857,-1.28E-15
UPENN-GBM-00351_11_segm.nii.gz,2.466867416838361,1.0993926274417494,1,4,56787,56787,"(51, 125, 37, 105, 202, 92)",56783,238.2750529225501,0.023749841511347795,0.008837961,0.9970210584804482,0.9811302203164238,0.8480289673716213,-1.28E-15
UPENN-GBM-00356_11_segm.nii.gz,2.1014738127619417,0.7205698811990814,1,4,36029,36029,"(117, 142, 73, 147, 202, 133)",36029,189.8130659,0.00869828,0.003741864,0.9986153567424181,0.9889610775436001,0.8994810338778735,1.1510220879407858
UPENN-GBM-00360_11_segm.nii.gz,2.202117747539647,1.0814236198243379,1,4,103034,103034,"(88, 179, 62, 89, 180, 63)",1,9.705534095541278e-06,0.017801077,0.006771594,0.9976840393645052,0.9784854835482314,0.8857073334414469,1.8931804523178635
UPENN-GBM-00362_11_segm.nii.gz,2.252321178198037,0.7900827653754376,1,4,90579,90579,"(69, 65, 66, 121, 148, 136)",90561,300.8737454984288,0.011137178720860732,0.005045826,0.9980824953412325,0.9768341453360683,0.9168696886143717,0.009079434
UPENN-GBM-00367_11_segm.nii.gz,2.285534720555803,1.0269474785743447,1,4,87513,87513,"(58, 78, 29, 115, 166, 100)",87513,295.8259623494868,0.017009448602353306,0.006705365,0.9976520390700923,0.9778073136160167,0.9228962967027654,-1.28E-15
UPENN-GBM-00368_11_segm.nii.gz,2.2144648936442524,0.7025327419619638,1,4,78134,78134,"(100, 103, 41, 181, 170, 100)",78130,279.5031316717556,0.012751459707349361,0.005801598,0.9977884303852738,0.9761191128330261,0.9364409097530947,0.5617965338827688
UPENN-GBM-00371_11_segm.nii.gz,2.266416188278374,0.7659259857464457,1,4,52433,52433,"(55, 84, 50, 100, 153, 109)",52402,228.7794898447415,0.010440748883057939,0.004496135,0.9983321270498129,0.9838152203643746,0.9118148448148691,-1.28E-15
UPENN-GBM-00373_11_segm.nii.gz,2.175903764259737,0.7914866835570756,1,4,32171,32171,"(130, 82, 27, 173, 154, 70)",14347,53.416703973055704,0.011569735006973503,0.00497629,0.9981587948149973,0.9879854167389105,0.8719407939487839,-1.28E-15
UPENN-GBM-00375_11_segm.nii.gz,2.050148973379105,0.9461220038279523,1,4,123512,123512,"(95, 65, 69, 161, 154, 139)",123512,351.4427407131921,0.023603307431759316,0.009308627,0.9967556754919544,0.9686072198627528,0.9206620047911059,1.887264778663337
UPENN-GBM-00376_11_segm.nii.gz,2.131260639727623,0.7525793264712235,1,4,145093,145093,"(109, 45, 53, 179, 138, 127)",145093,380.91075070152584,0.017179313204417807,0.007458819,0.9972251454013701,0.9650097593667328,0.9211057484393738,0.9161396821198696
UPENN-GBM-00380_11_segm.nii.gz,1.9882750301568155,0.20560902294743677,1,4,20725,20725,"(50, 88, 24, 84, 159, 71)",20703,143.73263385718462,0.006336983,0.003169234,0.9987321058575661,0.9915903249158324,0.8287504561879891,-1.28E-15
UPENN-GBM-00384_11_segm.nii.gz,2.4084618296114666,1.0112713226146064,1,4,60767,60767,"(102, 133, 52, 160, 203, 116)",60745,246.37577781036924,0.016700989,0.006804611,0.9975689883040036,0.9826046542450619,0.8827444297509222,0.27702941378457113
UPENN-GBM-00388_11_segm.nii.gz,1.7635243606496174,0.5176072265785465,1,4,26785,26785,"(146, 132, 53, 187, 187, 95)",26783,163.64290527853873,0.006417281,0.003283357,0.9986717141528856,0.9882082490679635,0.876298209,-1.28E-15
UPENN-GBM-00390_11_segm.nii.gz,2.5625859247135843,1.0131998817563515,1,4,30550,30550,"(61, 104, 68, 62, 105, 70)",2,9.258353927156106e-05,0.012209853,0.004680962,0.9983745224031034,0.9897932943522315,0.8507146084186183,-1.28E-15
UPENN-GBM-00391_11_segm.nii.gz,2.3982736427652003,1.0879086074265367,1,4,79242,79242,"(102, 90, 53, 172, 183, 111)",78753,278.89789205255175,0.022915163757033615,0.009098615,0.9967905912906211,0.975150072,0.9148005806245686,0.1768005210980242
UPENN-GBM-00393_11_segm.nii.gz,2.3110642146517937,0.9479113932446188,1,4,16585,16585,"(151, 119, 68, 186, 154, 102)",16585,128.78276282173792,0.009434736,0.003761588,0.9986638627885315,0.9909165268535901,0.8943948802032764,-1.28E-15
UPENN-GBM-00398_11_segm.nii.gz,2.2896752506588642,0.8641559780820555,1,4,137737,137737,"(108, 145, 79, 109, 147, 82)",4,5.808170644053522e-05,0.025084678222753537,0.009743475,0.9965946286464377,0.9645692851522757,0.9159521980381259,0.15025184770938754
UPENN-GBM-00402_11_segm.nii.gz,2.2716821678461248,1.056792571218082,1,4,175363,175363,"(55, 85, 34, 129, 179, 103)",175355,418.7350010386702,0.033731025003537286,0.012879752592323086,0.9956024111785273,0.9550257616993041,0.9225479902822014,0.8047504850994522
UPENN-GBM-00404_11_segm.nii.gz,2.3968415555570246,0.8438564930801075,1,4,151277,151277,"(63, 89, 73, 125, 196, 139)",151277,388.9434406182986,0.022135581759012715,0.009986898,0.9962078451261321,0.9589578308901607,0.9314299891964347,0.36262899068636956
UPENN-GBM-00418_11_segm.nii.gz,2.7723435686398648,1.1058675536668428,1,4,37908,37908,"(58, 95, 58, 97, 145, 116)",37870,194.40708381765612,0.014951067300191476,0.005298679,0.9982587488580283,0.9881509749295265,0.8970611275047596,-1.28E-15
UPENN-GBM-00428_11_segm.nii.gz,2.2814937150197268,0.7024120085903013,1,4,43596,43596,"(139, 135, 37, 184, 192, 89)",43595,208.78936771017132,0.006929246,0.00330839,0.9987039149422242,0.9848715091873366,0.9319319761727806,-1.28E-15
UPENN-GBM-00430_11_segm.nii.gz,1.9713559992962701,1.0222626463523323,1,4,90944,90944,"(62, 89, 41, 121, 167, 101)",90930,301.49959612773193,0.022493026499302647,0.009264877,0.9966760193617197,0.9726604052027505,0.8828991554488158,0.014107402930934532
UPENN-GBM-00437_11_segm.nii.gz,2.662466972037175,1.2423762688960345,1,4,98023,98023,"(83, 80, 70, 161, 148, 140)",97969,312.8275710802567,0.030942419,0.011190974,0.9963130984611415,0.9747464708863743,0.9135000817518528,2.1613321412949515
UPENN-GBM-00438_11_segm.nii.gz,2.0707217272700893,0.38269281418648515,1,4,34459,34459,"(139, 53, 58, 178, 115, 107)",34436,185.44553390277466,0.007014772,0.003411323,0.9986522223952341,0.9870817054659083,0.8874148135377947,-1.28E-15
UPENN-GBM-00439_11_segm.nii.gz,2.5617313720761996,0.9319693450319126,1,4,49764,49764,"(82, 94, 86, 147, 156, 140)",49152,218.97599561096493,0.011932434526576784,0.005051914,0.998138577,0.9831486020306988,0.9211165986496127,0.035247576396256135
UPENN-GBM-00474_11_segm.nii.gz,2.2202044091561786,0.6758992974072753,1,4,59195,59195,"(59, 138, 32, 114, 205, 102)",59195,243.3002260582591,0.011637776,0.005141462,0.9980594915790584,0.9843977369873214,0.9056997106184068,-1.28E-15
